Name,Type,Size,Armor,Hit Points,Move Burrow,Move Climb,Move Fly,Move Swim,Move Walk,Stat Str,Stat Dex,Stat Con,Stat Int,Stat Wis,Stat Cha,Save Str,Save Dex,Save Con,Save Int,Save Wis,Save Cha,Blind Sight,Dark Vision,Tremorsense,True Sight,Immune Acid,Immune Bludgeoning,Immune Cold,Immune Fire,Immune Force,Immune Lightning,Immune Necrotic,Immune Piercing,Immune Poison,Immune Psychic,Immune Radiant,Immune Slashing,Immune Thunder,Resist Acid,Resist Bludgeoning,Resist Cold,Resist Fire,Resist Force,Resist Lightning,Resist Necrotic,Resist Piercing,Resist Poison,Resist Psychic,Resist Radiant,Resist Slashing,Resist Thunder,Cause Blinded,Cause Charmed,Cause Deafened,Cause Frightened,Cause Grappled,Cause Incapacitated,Cause Invisible,Cause Paralyzed,Cause Petrified,Cause Poisoned,Cause Prone,Cause Restrained,Cause Stunned,Cause Unconscious,Multiattack,Spellcasting,Damage Tags,Spellcasting Tags,Trait Tags,Elo Rank
Elzerina Cassalanter,humanoid,1,10,1,0,0,0,0,30,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Engineer,humanoid,1,10,7,0,0,0,0,25,10,10,10,14,10,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,CW,,-316
Fala Lefaliir,humanoid,2,16,27,0,0,0,0,35,10,12,13,12,15,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,B,CD,Fey Ancestry,-19
Flying Staff,construct,1,17,17,0,0,50,0,0,12,15,11,1,5,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,,"Antimagic Susceptibility,False Appearance",-157
Griffon Cavalry Rider,humanoid,2,17,58,0,0,0,0,30,14,15,14,10,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,,1052
Grum'shar,humanoid,2,10,9,0,0,0,0,30,10,10,10,14,10,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,CW,,-236
Hlam,humanoid,2,22,137,0,0,0,0,60,11,24,13,14,21,14,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,"N,P",CC,,2940
Hrabbaz,humanoid,2,12,112,0,0,0,0,30,20,15,17,10,14,12,8,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P,,,1939
Istrid Horn,humanoid,2,18,117,0,0,0,0,25,12,10,14,11,17,13,0,0,5,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,B,CC,,2393
Jalester Silvermane,humanoid,2,18,71,0,0,0,0,30,14,14,13,12,14,13,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"P,S",,,1334
Jandar Chergoba,humanoid,2,13,33,0,0,0,0,30,11,14,12,10,13,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,P,"CC,I",,7
Jarlaxle Baenre,humanoid,2,24,123,0,0,0,0,30,12,22,14,20,16,19,0,11,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,P,I,"Fey Ancestry,Legendary Resistances,Sneak Attack,Sunlight Sensitivity",3826
Jenks,humanoid,1,10,1,0,0,0,0,30,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Kaevja Cynavern,humanoid,2,15,40,0,0,0,0,30,9,14,11,17,12,11,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,CW,,1655
Kalain,humanoid,2,15,44,0,0,0,0,30,11,14,12,10,13,14,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,P,CB,Fey Ancestry,731
Lady Gondafrey,elemental,2,15,52,0,0,60,0,30,15,11,16,10,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"P,S",,False Appearance,1571
Laeral Silverhand,humanoid,2,18,228,0,0,0,0,30,13,17,20,20,20,19,0,0,0,11,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,"F,O,S",CW,Magic Resistance,4025
"Laiba ""Nana"" Rosse",humanoid,2,13,33,0,0,0,0,30,11,14,12,10,13,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,P,"CC,I",,109
Losser Mirklav,humanoid,1,15,31,0,0,0,0,25,9,14,11,17,12,11,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,CW,,1631
Magister Umbero Zastro,humanoid,2,11,9,0,0,0,0,30,11,12,11,12,14,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,Fey Ancestry,-672
Manafret Cherryport,humanoid,1,15,31,0,0,0,0,25,9,14,11,17,12,11,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,P,CW,,1886
Manshoon,humanoid,2,19,126,0,0,0,0,30,10,14,12,23,15,16,2,4,3,13,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"B,O",CW,Magic Resistance,3780
Manshoon Simulacrum,humanoid,2,12,126,0,0,0,0,30,10,14,12,23,15,16,3,5,4,12,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,CW,,2254
Maxeene,beast,3,10,19,0,0,0,0,40,18,10,12,10,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,,,113
Mechanical Bird,construct,0,15,1,0,0,60,0,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,,-1543
Melannor Fellbranch,humanoid,2,16,27,0,0,0,0,30,10,12,13,12,15,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,B,CD,Fey Ancestry,-129
Meloon Wardragon,humanoid,2,18,143,0,0,0,0,30,20,15,14,10,14,15,9,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,,,2901
Mirt,humanoid,2,16,153,0,0,0,0,30,18,18,18,15,12,15,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"P,S",,"Brute,Sneak Attack",2713
Nat,humanoid,1,10,1,0,0,0,0,30,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Nimblewright,construct,2,18,45,0,0,0,0,60,12,18,17,8,10,6,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P,,"Magic Resistance,Magic Weapons",1812
Noska Ur'gray,humanoid,2,11,32,0,0,0,0,25,15,11,14,10,10,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"B,P",,Pack Tactics,678
Obliteros,beast,4,13,126,0,0,0,50,0,23,11,21,10,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,Water Breathing,2243
Orond Gralhund,humanoid,2,15,9,0,0,0,0,30,11,12,11,9,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,,-307
Ott Steeltoes,humanoid,2,12,9,0,0,0,0,25,11,12,10,6,11,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,,,-548
Panopticus Wizard,humanoid,2,10,9,0,0,0,0,25,10,10,10,14,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,CW,,-218
Remallia Haventree,humanoid,2,15,66,0,0,0,0,30,10,14,13,18,15,17,0,0,0,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,P,CW,Fey Ancestry,2298
Renaer Neverember,humanoid,2,17,66,0,0,0,0,30,12,18,12,14,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P,,,1454
Rishaal the Page-Turner,humanoid,2,15,40,0,0,0,0,30,9,14,11,17,12,11,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,CW,,2042
Saeth Cromley,humanoid,2,17,58,0,0,0,0,30,16,13,14,10,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"P,S",,,1434
Shard Shunner,humanoid,1,12,27,0,0,0,0,30,10,15,12,11,10,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P,,"Keen Senses,Shapechanger",1128
Skeemo Weirdbottle,humanoid,1,15,72,0,0,0,0,25,9,14,12,17,12,15,0,0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,CW,,2574
Soluun Xibrindas,humanoid,2,18,84,0,0,0,0,30,13,18,14,11,13,14,0,6,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"I,P,S",I,"Fey Ancestry,Sunlight Sensitivity",2000
Squiddly,humanoid,1,10,1,0,0,0,0,30,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Swarm of Books,construct,2,12,22,0,0,30,0,0,5,15,10,2,12,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,,,215
Swarm of Mechanical Spiders,construct,2,12,22,0,20,0,0,20,3,13,10,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,"Spider Climb,Web Sense,Web Walker",530
Sylgar,beast,0,13,1,0,0,0,40,0,2,16,9,1,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,Water Breathing,-1502
"Talisolvanar ""Tally"" Fellbranch",humanoid,2,10,4,0,0,0,0,30,10,10,10,10,10,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,,Fey Ancestry,-1114
Tashlyn Yafeera,humanoid,2,18,149,0,0,0,0,30,18,15,14,10,14,12,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"P,S",,,2770
Terenzio Cassalanter,humanoid,1,10,1,0,0,0,0,30,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Thorvin Twinbeard,humanoid,2,10,4,0,0,0,0,25,10,10,10,10,16,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,,,-1100
Thrakkus,humanoid,2,13,67,0,0,0,0,30,16,12,17,9,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F,S",,Reckless,1167
Tissina Khyret,humanoid,2,13,33,0,0,0,0,30,11,14,12,10,13,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,P,"CC,I",,74
Urstul Floxin,humanoid,2,15,78,0,0,0,0,30,11,16,14,13,11,10,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"I,P",,Sneak Attack,1703
Vajra Safahr,humanoid,2,17,126,0,0,0,0,30,10,14,12,20,11,16,2,4,3,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,O,CW,Magic Resistance,3390
Valetta,humanoid,2,13,27,0,0,0,0,25,10,10,12,13,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"B,R",CC,,342
Victoro Cassalanter,humanoid,2,15,97,0,0,0,0,30,13,13,14,16,17,18,0,0,6,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,P,CC,Fey Ancestry,2475
Walking Statue of Waterdeep,construct,5,17,314,0,0,0,0,60,30,8,27,1,10,1,0,0,14,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,,"Immutable Form,Magic Resistance,Siege Monster",4626
Yagra Stonefist,humanoid,2,11,32,0,0,0,0,30,15,11,14,10,10,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"B,P",,Pack Tactics,790
Yalah Gralhund,humanoid,2,15,9,0,0,0,0,30,11,12,11,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,,-470
Yorn,humanoid,2,11,32,0,0,0,0,30,15,11,14,10,10,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"B,P",,Pack Tactics,727
Zhent Martial Arts Adept,humanoid,1,16,49,0,0,0,0,25,11,17,13,11,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,"B,P",,,996
Ziraj the Hunter,humanoid,2,17,153,0,0,0,0,30,18,18,18,11,14,15,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,"P,S",CP,,2607
Demogorgon,monstrosity,2,15,60,0,0,0,0,30,16,12,16,3,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"P,S",,"Keen Senses,Regeneration",5021
Gar Shatterkeel,humanoid,2,17,144,0,0,0,30,30,16,16,18,12,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,"B,P",CD,"Amphibious,Legendary Resistances",2053
Shoalar Quanderil,humanoid,2,14,75,0,0,0,30,30,12,12,16,14,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,"CS,I",Amphibious,1612
Aeorian Absorber,monstrosity,3,15,171,0,0,0,0,40,21,18,18,6,14,8,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"O,P,S,Y",,"Magic Resistance,Pounce",2961
Aeorian Nullifier,monstrosity,3,17,180,0,0,0,0,40,19,14,18,7,14,18,0,0,0,0,6,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,"O,P,S",I,Magic Resistance,3524
Aeorian Reverser,monstrosity,3,15,133,0,40,0,0,40,21,16,18,6,14,8,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"O,P,S",,Magic Resistance,3186
Blood Hunter,humanoid,2,16,65,0,0,0,0,30,18,12,15,9,16,11,7,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"F,P,S",I,Magic Resistance,4
Bol'bara,humanoid,1,15,40,0,0,0,0,30,11,14,12,10,13,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"O,P",I,,1121
